tweets	label
abound	1
abounds	1
abundance	1
abundant	1
accessable	1
accessible	1
acclaim	1
acclaimed	1
acclamation	1
accolade	1
accolades	1
accommodative	1
accomodative	1
accomplish	1
accomplished	1
accomplishment	1
accomplishments	1
accurate	1
accurately	1
achievable	1
achievement	1
achievements	1
achievible	1
acumen	1
adaptable	1
adaptive	1
adequate	1
adjustable	1
admirable	1
admirably	1
admiration	1
admire	1
admirer	1
admiring	1
admiringly	1
adorable	1
adore	1
adored	1
adorer	1
adoring	1
adoringly	1
adroit	1
adroitly	1
adulate	1
adulation	1
adulatory	1
advanced	1
advantage	1
advantageous	1
advantageously	1
advantages	1
adventuresome	1
adventurous	1
advocate	1
advocated	1
advocates	1
affability	1
affable	1
affably	1
affectation	1
affection	1
affectionate	1
affinity	1
affirm	1
affirmation	1
affirmative	1
affluence	1
affluent	1
afford	1
affordable	1
affordably	1
afordable	1
agile	1
agilely	1
agility	1
agreeable	1
agreeableness	1
agreeably	1
all-around	1
alluring	1
alluringly	1
altruistic	1
altruistically	1
amaze	1
amazed	1
amazement	1
amazes	1
amazing	1
amazingly	1
ambitious	1
ambitiously	1
ameliorate	1
amenable	1
amenity	1
amiability	1
amiabily	1
amiable	1
amicability	1
amicable	1
amicably	1
amity	1
ample	1
amply	1
amuse	1
amusing	1
amusingly	1
angel	1
angelic	1
apotheosis	1
appeal	1
appealing	1
applaud	1
appreciable	1
appreciate	1
appreciated	1
appreciates	1
appreciative	1
appreciatively	1
appropriate	1
approval	1
approve	1
ardent	1
ardently	1
ardor	1
articulate	1
aspiration	1
aspirations	1
aspire	1
assurance	1
assurances	1
assure	1
assuredly	1
assuring	1
astonish	1
astonished	1
astonishing	1
astonishingly	1
astonishment	1
astound	1
astounded	1
astounding	1
astoundingly	1
astutely	1
attentive	1
attraction	1
attractive	1
attractively	1
attune	1
audible	1
audibly	1
auspicious	1
authentic	1
authoritative	1
autonomous	1
available	1
aver	1
avid	1
avidly	1
award	1
awarded	1
awards	1
awe	1
awed	1
awesome	1
awesomely	1
awesomeness	1
awestruck	1
awsome	1
backbone	1
balanced	1
bargain	1
beauteous	1
beautiful	1
beautifullly	1
beautifully	1
beautify	1
beauty	1
beckon	1
beckoned	1
beckoning	1
beckons	1
believable	1
believeable	1
beloved	1
benefactor	1
beneficent	1
beneficial	1
beneficially	1
beneficiary	1
benefit	1
benefits	1
benevolence	1
benevolent	1
benifits	1
best	1
best-known	1
best-performing	1
best-selling	1
better	1
better-known	1
better-than-expected	1
beutifully	1
blameless	1
bless	1
blessing	1
bliss	1
blissful	1
blissfully	1
blithe	1
blockbuster	1
bloom	1
blossom	1
bolster	1
bonny	1
bonus	1
bonuses	1
boom	1
booming	1
boost	1
boundless	1
bountiful	1
brainiest	1
brainy	1
brand-new	1
brave	1
bravery	1
bravo	1
breakthrough	1
breakthroughs	1
breathlessness	1
breathtaking	1
breathtakingly	1
breeze	1
bright	1
brighten	1
brighter	1
brightest	1
brilliance	1
brilliances	1
brilliant	1
brilliantly	1
brisk	1
brotherly	1
bullish	1
buoyant	1
cajole	1
calm	1
calming	1
calmness	1
capability	1
capable	1
capably	1
captivate	1
captivating	1
carefree	1
cashback	1
cashbacks	1
catchy	1
celebrate	1
celebrated	1
celebration	1
celebratory	1
champ	1
champion	1
charisma	1
charismatic	1
charitable	1
charm	1
charming	1
charmingly	1
chaste	1
cheaper	1
cheapest	1
cheer	1
cheerful	1
cheery	1
cherish	1
cherished	1
cherub	1
chic	1
chivalrous	1
chivalry	1
civility	1
civilize	1
clarity	1
classic	1
classy	1
clean	1
cleaner	1
cleanest	1
cleanliness	1
cleanly	1
clear	1
clear-cut	1
cleared	1
clearer	1
clearly	1
clears	1
clever	1
cleverly	1
cohere	1
coherence	1
coherent	1
cohesive	1
colorful	1
comely	1
comfort	1
comfortable	1
comfortably	1
comforting	1
comfy	1
commend	1
commendable	1
commendably	1
commitment	1
commodious	1
compact	1
compactly	1
compassion	1
compassionate	1
compatible	1
competitive	1
complement	1
complementary	1
complemented	1
complements	1
compliant	1
compliment	1
complimentary	1
comprehensive	1
conciliate	1
conciliatory	1
concise	1
confidence	1
confident	1
congenial	1
congratulate	1
congratulation	1
congratulations	1
congratulatory	1
conscientious	1
considerate	1
consistent	1
consistently	1
constructive	1
consummate	1
contentment	1
continuity	1
contrasty	1
contribution	1
convenience	1
convenient	1
conveniently	1
convience	1
convienient	1
convient	1
convincing	1
convincingly	1
cool	1
coolest	1
cooperative	1
cooperatively	1
cornerstone	1
correct	1
correctly	1
cost-effective	1
cost-saving	1
counter-attack	1
